delay,send_time,receive_time,data_length
0.019,1715860077.763,1715860077.782,1000
0.022,1715860078.802,1715860078.824,1000
0.021,1715860079.854,1715860079.875,1000
0.029,1715860080.894,1715860080.923,1000
0.020,1715860081.955,1715860081.975,1000
0.019,1715860082.998,1715860083.017,1000
1.022,1715860084.040,1715860085.062,1000
0.021,1715860086.080,1715860086.101,1000
0.019,1715860087.351,1715860087.370,1000
0.017,1715860088.397,1715860088.414,1000
0.021,1715860089.450,1715860089.471,1000
0.018,1715860090.491,1715860090.509,1000
0.021,1715860091.529,1715860091.550,1000
0.022,1715860092.569,1715860092.591,1000
0.016,1715860093.612,1715860093.628,1000
0.017,1715860094.689,1715860094.706,1000
0.019,1715860095.724,1715860095.743,1000
0.027,1715860096.984,1715860097.011,1000
0.021,1715860098.033,1715860098.054,1000
0.022,1715860099.077,1715860099.099,1000
6.586,1715860100.120,1715860106.706,1000
0.017,1715860107.726,1715860107.743,1000
0.016,1715860108.762,1715860108.778,1000
1.902,1715860109.807,1715860111.709,1000
0.030,1715860112.748,1715860112.778,1000
0.042,1715860113.823,1715860113.865,1000
0.020,1715860114.885,1715860114.905,1000
0.021,1715860115.925,1715860115.946,1000
0.016,1715860116.965,1715860116.981,1000
1.043,1715860118.002,1715860119.045,1000
0.038,1715860120.084,1715860120.122,1000
0.019,1715860121.141,1715860121.160,1000
1.026,1715860122.179,1715860123.205,1000
0.018,1715860124.451,1715860124.469,1000
0.017,1715860125.505,1715860125.522,1000
0.021,1715860126.541,1715860126.562,1000
0.019,1715860127.603,1715860127.622,1000
0.019,1715860128.642,1715860128.661,1000
0.019,1715860129.687,1715860129.706,1000
0.020,1715860130.728,1715860130.748,1000
0.017,1715860131.768,1715860131.785,1000
1.017,1715860132.807,1715860133.824,1000
0.021,1715860134.846,1715860134.867,1000
0.259,1715860135.890,1715860136.149,1000
0.022,1715860137.168,1715860137.190,1000
0.019,1715860138.210,1715860138.229,1000
0.020,1715860139.248,1715860139.268,1000
1.043,1715860140.288,1715860141.331,1000
0.018,1715860142.352,1715860142.370,1000
0.020,1715860143.390,1715860143.410,1000
0.018,1715860144.430,1715860144.448,1000
0.025,1715860145.469,1715860145.494,1000
0.017,1715860146.513,1715860146.530,1000
0.033,1715860147.550,1715860147.583,1000
0.017,1715860148.602,1715860148.619,1000
0.018,1715860149.638,1715860149.656,1000
0.019,1715860151.127,1715860151.146,1000
0.016,1715860152.179,1715860152.195,1000
