sender_id,sequence,rtt,send_time,ack_time
1,327,0.125,1717960418.540, 1717960418.665
1,328,0.129,1717960419.666, 1717960419.795
1,329,0.144,1717960420.921, 1717960421.065
1,330,0.109,1717960422.066, 1717960422.175
1,331,0.147,1717960423.176, 1717960423.323
1,332,0.120,1717960424.324, 1717960424.445
1,333,0.138,1717960425.446, 1717960425.584
1,334,0.121,1717960426.715, 1717960426.835
1,335,0.137,1717960427.837, 1717960427.973
1,336,0.132,1717960428.975, 1717960429.106
1,337,0.129,1717960430.108, 1717960430.236
1,338,0.138,1717960431.238, 1717960431.376
1,339,0.134,1717960432.377, 1717960432.511
1,340,0.145,1717960433.513, 1717960433.658
1,341,0.114,1717960434.659, 1717960434.773
1,342,0.137,1717960435.774, 1717960435.911
1,343,0.215,1717960436.912, 1717960437.127
1,344,0.137,1717960438.128, 1717960438.266
1,345,0.138,1717960439.267, 1717960439.405
1,346,0.141,1717960440.406, 1717960440.548
1,347,0.142,1717960441.549, 1717960441.691
1,348,0.126,1717960442.692, 1717960442.818
1,349,0.145,1717960443.928, 1717960444.074
1,350,0.124,1717960445.075, 1717960445.199
1,351,0.158,1717960446.200, 1717960446.358
1,352,0.143,1717960447.359, 1717960447.502
1,353,0.121,1717960448.503, 1717960448.624
1,354,0.128,1717960449.741, 1717960449.869
1,355,0.175,1717960450.870, 1717960451.045
1,356,0.139,1717960452.046, 1717960452.185
1,357,0.143,1717960453.186, 1717960453.328
1,358,0.123,1717960454.330, 1717960454.452
1,359,0.113,1717960455.454, 1717960455.566
1,360,0.124,1717960456.568, 1717960456.691
1,361,0.162,1717960457.693, 1717960457.855
1,362,0.154,1717960458.856, 1717960459.010
1,363,0.130,1717960460.011, 1717960460.141
1,364,0.146,1717960461.142, 1717960461.288
1,365,0.148,1717960462.289, 1717960462.437
1,366,0.159,1717960463.439, 1717960463.598
1,367,0.125,1717960464.599, 1717960464.725
1,368,0.142,1717960465.726, 1717960465.868
1,369,0.142,1717960466.973, 1717960467.114
1,370,0.110,1717960468.115, 1717960468.225
1,371,0.097,1717960469.227, 1717960469.324
1,372,0.123,1717960470.325, 1717960470.448
1,373,0.120,1717960471.450, 1717960471.569
1,374,0.131,1717960472.681, 1717960472.812
1,375,0.127,1717960473.813, 1717960473.940
1,376,0.156,1717960474.942, 1717960475.097
1,377,0.136,1717960476.099, 1717960476.235
1,378,0.148,1717960477.236, 1717960477.384
