sender_id,sequence,ack_time
1,705,1717960850.827
1,706,1717960851.979
1,707,1717960853.114
1,708,1717960854.237
1,709,1717960855.410
1,710,1717960856.537
1,711,1717960857.678
1,712,1717960858.808
1,713,1717960859.952
1,714,1717960861.113
1,715,1717960862.246
1,716,1717960863.388
1,717,1717960864.507
1,718,1717960865.649
1,719,1717960866.791
1,720,1717960867.927
1,721,1717960869.088
1,722,1717960870.225
1,723,1717960871.346
1,724,1717960872.480
1,725,1717960873.614
1,726,1717960874.760
1,727,1717960875.899
1,728,1717960877.049
1,729,1717960878.170
1,730,1717960879.302
1,731,1717960880.446
1,732,1717960881.585
1,733,1717960882.734
1,734,1717960883.864
1,735,1717960884.987
1,736,1717960886.194
1,737,1717960887.350
1,738,1717960888.485
1,739,1717960889.625
1,740,1717960890.777
1,741,1717960891.947
1,742,1717960893.093
1,743,1717960894.226
1,744,1717960895.378
1,745,1717960896.509
1,746,1717960897.709
1,747,1717960898.856
1,748,1717960899.979
1,749,1717960901.142
1,750,1717960902.301
1,751,1717960903.427
1,752,1717960904.558
1,753,1717960905.700
1,754,1717960906.835
1,755,1717960907.958
1,756,1717960909.088
1,757,1717960910.233
1,758,1717960911.395
1,759,1717960912.513
1,760,1717960913.660
1,761,1717960914.811
1,762,1717960915.954
1,763,1717960917.123
1,764,1717960918.294
1,765,1717960919.429
1,766,1717960920.583
1,767,1717960921.750
1,768,1717960922.912
1,769,1717960924.064
1,770,1717960925.177
1,771,1717960926.331
1,772,1717960927.463
1,773,1717960928.605
1,774,1717960929.723
1,775,1717960930.875
1,776,1717960932.007
1,777,1717960933.131
1,778,1717960934.294
1,779,1717960935.419
1,780,1717960936.556
1,781,1717960937.694
1,782,1717960938.813
1,783,1717960939.958
1,784,1717960941.105
1,785,1717960942.226
1,786,1717960943.394
1,787,1717960944.531
1,788,1717960945.667
1,789,1717960946.819
1,790,1717960947.977
1,791,1717960949.123
1,792,1717960950.257
1,793,1717960951.389
1,794,1717960952.577
1,795,1717960953.697
1,796,1717960954.832
1,797,1717960955.979
1,798,1717960957.129
1,799,1717960958.235
1,800,1717960959.388
1,801,1717960960.517
1,802,1717960961.664
1,803,1717960962.791
1,804,1717960963.925
1,805,1717960965.055
1,806,1717960966.192
1,807,1717960967.332
1,808,1717960968.453
1,809,1717960969.615
1,810,1717960970.755
1,811,1717960971.898
1,812,1717960973.031
1,813,1717960974.178
1,814,1717960975.302
1,815,1717960976.430
1,816,1717960977.582
1,817,1717960978.764
1,818,1717960979.905
1,819,1717960981.051
1,820,1717960982.178
1,821,1717960983.336
1,822,1717960984.482
1,823,1717960985.633
1,824,1717960986.750
1,825,1717960987.885
1,826,1717960989.048
1,827,1717960990.176
1,828,1717960991.325
1,829,1717960992.429
1,830,1717960993.576
1,831,1717960994.707
1,832,1717960995.862
1,833,1717960997.003
1,834,1717960998.116
1,835,1717960999.252
1,836,1717961000.390
1,837,1717961001.526
1,838,1717961002.634
1,839,1717961003.772
1,840,1717961004.912
1,841,1717961006.063
1,842,1717961007.212
1,843,1717961008.345
1,844,1717961009.474
1,845,1717961010.615
1,846,1717961011.773
1,847,1717961012.910
1,848,1717961014.082
1,849,1717961015.208
1,850,1717961016.383
1,851,1717961017.527
1,852,1717961018.676
1,853,1717961019.844
1,854,1717961020.987
1,855,1717961022.100
1,856,1717961023.232
1,857,1717961024.372
1,858,1717961025.498
1,859,1717961026.657
1,860,1717961027.794
1,861,1717961028.935
1,862,1717961030.075
1,863,1717961031.201
1,864,1717961032.317
1,865,1717961033.439
1,866,1717961034.566
1,867,1717961035.707
1,868,1717961036.859
1,869,1717961038.000
1,870,1717961039.132
1,871,1717961040.277
1,872,1717961041.431
1,873,1717961042.559
1,874,1717961043.715
1,875,1717961044.855
1,876,1717961045.991
1,877,1717961047.148
1,878,1717961048.284
1,879,1717961049.415
1,880,1717961050.532
1,881,1717961051.660
1,882,1717961052.794
1,883,1717961053.932
1,884,1717961055.051
1,885,1717961056.289
1,886,1717961057.522
1,887,1717961058.758
1,888,1717961059.913
1,889,1717961061.078
1,890,1717961062.196
1,891,1717961063.336
1,892,1717961064.471
1,893,1717961065.585
1,894,1717961066.725
1,895,1717961067.835
1,896,1717961069.017
1,897,1717961070.142
1,898,1717961071.290
1,899,1717961072.417
1,900,1717961073.562
1,901,1717961074.709
1,902,1717961075.853
1,903,1717961077.014
1,904,1717961078.127
1,905,1717961079.254
1,906,1717961080.396
1,907,1717961081.517
1,908,1717961082.670
1,909,1717961083.797
1,910,1717961084.945
1,911,1717961086.104
1,912,1717961087.265
1,913,1717961088.407
1,914,1717961089.536
