delay,send_time,receive_time
0.050,1715863220.598,1715863220.648
0.051,1715863221.667,1715863221.718
0.066,1715863222.742,1715863222.808
0.278,1715863223.832,1715863224.110
0.043,1715863225.131,1715863225.173
0.060,1715863226.188,1715863226.247
0.058,1715863227.263,1715863227.321
0.078,1715863228.345,1715863228.423
0.279,1715863229.444,1715863229.723
0.084,1715863230.744,1715863230.828
1.075,1715863231.854,1715863232.929
0.267,1715863233.955,1715863234.222
0.056,1715863235.240,1715863235.296
0.047,1715863236.322,1715863236.369
1.086,1715863237.401,1715863238.488
0.046,1715863239.508,1715863239.554
0.057,1715863240.575,1715863240.632
0.051,1715863241.646,1715863241.697
2.076,1715863242.728,1715863244.804
0.051,1715863245.820,1715863245.871
0.276,1715863246.899,1715863247.175
0.062,1715863248.188,1715863248.250
0.060,1715863249.266,1715863249.326
0.082,1715863250.575,1715863250.657
0.081,1715863251.675,1715863251.757
0.050,1715863252.772,1715863252.823
2.092,1715863253.857,1715863255.949
0.045,1715863256.972,1715863257.017
0.076,1715863258.025,1715863258.101
0.272,1715863259.128,1715863259.400
1.082,1715863260.416,1715863261.498
0.278,1715863262.527,1715863262.805
0.045,1715863263.831,1715863263.876
0.061,1715863265.114,1715863265.176
0.056,1715863266.193,1715863266.249
0.067,1715863267.275,1715863267.342
0.046,1715863268.367,1715863268.413
0.052,1715863269.439,1715863269.490
2.073,1715863270.511,1715863272.584
0.062,1715863273.604,1715863273.666
0.076,1715863274.894,1715863274.970
0.046,1715863275.996,1715863276.042
1.076,1715863277.062,1715863278.138
0.068,1715863279.164,1715863279.232
1.076,1715863280.253,1715863281.329
0.060,1715863282.347,1715863282.408
0.081,1715863283.436,1715863283.517
1.088,1715863284.538,1715863285.626
0.067,1715863286.642,1715863286.709
0.057,1715863287.732,1715863287.790
1.061,1715863289.023,1715863290.084
0.046,1715863291.096,1715863291.141
0.035,1715863292.168,1715863292.203
0.077,1715863293.442,1715863293.519
0.054,1715863294.895,1715863294.948
0.040,1715863295.969,1715863296.009
4.701,1715863297.035,1715863301.736
0.047,1715863302.758,1715863302.805
0.051,1715863303.826,1715863303.877
0.058,1715863304.897,1715863304.955
2.342,1715863305.976,1715863308.318
0.056,1715863309.350,1715863309.406
0.046,1715863310.424,1715863310.470
1.081,1715863311.490,1715863312.571
1.082,1715863313.588,1715863314.670
1.058,1715863315.685,1715863316.744
0.076,1715863317.772,1715863317.848
0.066,1715863319.290,1715863319.356
0.052,1715863320.381,1715863320.433
0.056,1715863321.453,1715863321.510
0.075,1715863322.529,1715863322.605
0.072,1715863323.631,1715863323.703
0.064,1715863324.723,1715863324.787
3.125,1715863325.812,1715863328.937
1.089,1715863329.957,1715863331.047
0.041,1715863332.062,1715863332.104
0.284,1715863333.124,1715863333.407
0.046,1715863334.427,1715863334.474
1.080,1715863335.489,1715863336.569
0.042,1715863337.584,1715863337.627
0.058,1715863338.648,1715863338.706
1.059,1715863339.718,1715863340.777
0.074,1715863342.011,1715863342.085
0.061,1715863343.327,1715863343.388
0.274,1715863344.402,1715863344.676
0.068,1715863345.694,1715863345.762
0.077,1715863346.786,1715863346.862
1.072,1715863347.881,1715863348.953
1.055,1715863349.968,1715863351.023
0.051,1715863352.267,1715863352.318
0.278,1715863353.569,1715863353.847
0.063,1715863354.872,1715863354.935
0.072,1715863355.959,1715863356.031
0.067,1715863357.046,1715863357.113
0.050,1715863358.128,1715863358.178
0.085,1715863359.203,1715863359.288
0.055,1715863360.308,1715863360.363
0.060,1715863361.393,1715863361.453
0.043,1715863362.459,1715863362.501
0.080,1715863363.530,1715863363.610
0.048,1715863364.630,1715863364.678
2.082,1715863365.703,1715863367.785
0.058,1715863368.800,1715863368.858
0.046,1715863369.870,1715863369.916
1.061,1715863370.933,1715863371.993
1.044,1715863373.008,1715863374.053
3.650,1715863375.087,1715863378.736
