rtt,send_time,ack_time
1.455,1715868625.347,1715868626.801
1.460,1715868627.802,1715868629.262
2.072,1715868630.263,1715868632.335
1.454,1715868633.336,1715868634.790
1.454,1715868635.790,1715868637.245
1.460,1715868638.245,1715868639.706
1.871,1715868640.706,1715868642.577
1.453,1715868643.578,1715868645.031
1.454,1715868646.032,1715868647.485
1.667,1715868648.486,1715868650.153
1.659,1715868651.154,1715868652.813
1.457,1715868653.814,1715868655.270
1.454,1715868656.271,1715868657.725
1.871,1715868658.726,1715868660.596
1.389,1715868661.597,1715868662.986
1.524,1715868663.986,1715868665.510
1.629,1715868666.511,1715868668.140
1.491,1715868669.141,1715868670.632
1.365,1715868671.633,1715868672.998
1.548,1715868673.998,1715868675.546
2.277,1715868676.547,1715868678.824
1.456,1715868679.825,1715868681.281
1.590,1715868682.282,1715868683.872
1.529,1715868684.872,1715868686.401
1.864,1715868687.402,1715868689.266
1.458,1715868690.267,1715868691.725
1.467,1715868692.726,1715868694.193
1.654,1715868695.194,1715868696.848
1.454,1715868697.849,1715868699.303
1.457,1715868700.304,1715868701.761
1.662,1715868702.761,1715868704.423
1.868,1715868705.424,1715868707.292
1.452,1715868708.293,1715868709.745
1.461,1715868710.746,1715868712.206
1.456,1715868713.207,1715868714.663
2.071,1715868715.664,1715868717.735
1.662,1715868718.736,1715868720.398
1.454,1715868721.399,1715868722.854
1.663,1715868723.854,1715868725.517
1.458,1715868726.518,1715868727.976
1.457,1715868728.977,1715868730.434
1.457,1715868731.434,1715868732.891
1.866,1715868733.892,1715868735.758
1.456,1715868736.759,1715868738.215
1.458,1715868739.216,1715868740.674
1.661,1715868741.674,1715868743.336
1.866,1715868744.336,1715868746.203
1.453,1715868747.204,1715868748.657
1.460,1715868749.658,1715868751.117
1.877,1715868752.118,1715868753.995
1.448,1715868754.996,1715868756.444
1.453,1715868757.445,1715868758.898
1.461,1715868759.898,1715868761.359
2.071,1715868762.360,1715868764.431
1.457,1715868765.431,1715868766.888
1.457,1715868767.889,1715868769.345
1.868,1715868770.346,1715868772.214
1.455,1715868773.215,1715868774.669
1.455,1715868775.670,1715868777.125
1.463,1715868778.126,1715868779.588
1.866,1715868780.589,1715868782.455
1.452,1715868783.456,1715868784.908
1.460,1715868785.909,1715868787.368
1.456,1715868788.369,1715868789.825
1.866,1715868790.826,1715868792.692
1.458,1715868793.693,1715868795.151
1.459,1715868796.152,1715868797.610
1.661,1715868798.611,1715868800.272
1.455,1715868801.273,1715868802.727
1.458,1715868803.728,1715868805.186
1.456,1715868806.187,1715868807.643
1.869,1715868808.644,1715868810.513
1.455,1715868811.514,1715868812.968
1.457,1715868813.969,1715868815.427
1.456,1715868816.427,1715868817.884
1.685,1715868818.885,1715868820.570
1.433,1715868821.571,1715868823.004
1.454,1715868824.005,1715868825.459
1.667,1715868826.460,1715868828.126
1.454,1715868829.127,1715868830.581
1.458,1715868831.582,1715868833.040
1.458,1715868834.040,1715868835.498
2.072,1715868836.499,1715868838.570
1.456,1715868839.571,1715868841.028
1.659,1715868842.029,1715868843.688
1.664,1715868844.688,1715868846.352
2.072,1715868847.353,1715868849.425
1.455,1715868850.425,1715868851.880
1.454,1715868852.886,1715868854.340
1.661,1715868855.340,1715868857.001
1.460,1715868858.002,1715868859.462
1.455,1715868860.463,1715868861.918
1.457,1715868862.919,1715868864.375
1.864,1715868865.376,1715868867.240
1.869,1715868868.240,1715868870.110
1.661,1715868871.110,1715868872.772
2.075,1715868873.773,1715868875.848
1.455,1715868876.849,1715868878.304
1.454,1715868879.305,1715868880.759
1.457,1715868881.760,1715868883.218
1.873,1715868884.218,1715868886.092
1.451,1715868887.092,1715868888.543
1.457,1715868889.544,1715868891.002
1.455,1715868892.002,1715868893.458
1.867,1715868894.458,1715868896.325
1.378,1715868897.326,1715868898.704
1.606,1715868899.705,1715868901.311
1.798,1715868902.312,1715868904.110
1.455,1715868905.111,1715868906.565
1.866,1715868907.566,1715868909.432
1.458,1715868910.433,1715868911.892
1.867,1715868912.892,1715868914.759
1.661,1715868915.760,1715868917.421
1.457,1715868918.422,1715868919.878
1.457,1715868920.879,1715868922.336
1.867,1715868923.337,1715868925.204
1.456,1715868926.204,1715868927.660
1.458,1715868928.661,1715868930.119
1.665,1715868931.120,1715868932.784
1.454,1715868933.785,1715868935.239
1.453,1715868936.240,1715868937.692
1.460,1715868938.693,1715868940.153
1.870,1715868941.154,1715868943.024
1.454,1715868944.025,1715868945.479
1.454,1715868946.480,1715868947.934
1.460,1715868948.934,1715868950.394
1.867,1715868951.395,1715868953.262
1.456,1715868954.263,1715868955.718
1.456,1715868956.719,1715868958.175
1.673,1715868959.175,1715868960.848
1.445,1715868961.849,1715868963.294
1.459,1715868964.295,1715868965.754
1.455,1715868966.755,1715868968.210
1.869,1715868969.210,1715868971.080
1.457,1715868972.080,1715868973.538
1.457,1715868974.539,1715868975.995
1.661,1715868976.996,1715868978.657
1.405,1715868979.664,1715868981.069
1.501,1715868982.070,1715868983.571
1.460,1715868984.572,1715868986.031
1.870,1715868987.032,1715868988.902
1.453,1715868989.903,1715868991.356
1.450,1715868992.360,1715868993.811
1.460,1715868994.812,1715868996.271
1.867,1715868997.272,1715868999.139
1.456,1715869000.139,1715869001.596
1.368,1715869002.596,1715869003.964
1.752,1715869004.965,1715869006.717
1.455,1715869007.718,1715869009.173
1.458,1715869010.173,1715869011.632
1.457,1715869012.632,1715869014.090
1.868,1715869015.090,1715869016.958
1.454,1715869017.959,1715869019.413
1.458,1715869020.414,1715869021.872
1.457,1715869022.873,1715869024.330
1.866,1715869025.330,1715869027.197
1.447,1715869028.204,1715869029.651
1.460,1715869030.652,1715869032.112
1.868,1715869033.113,1715869034.981
1.455,1715869035.982,1715869037.437
1.454,1715869038.438,1715869039.892
1.463,1715869040.893,1715869042.356
1.893,1715869043.357,1715869045.249
1.426,1715869046.250,1715869047.676
1.454,1715869048.677,1715869050.132
1.461,1715869051.132,1715869052.593
1.866,1715869053.594,1715869055.460
1.457,1715869056.461,1715869057.918
1.457,1715869058.919,1715869060.376
1.868,1715869061.376,1715869063.244
1.660,1715869064.245,1715869065.905
1.460,1715869066.905,1715869068.365
1.453,1715869069.366,1715869070.819
2.073,1715869071.820,1715869073.893
2.486,1715869074.894,1715869077.380
1.378,1715869078.380,1715869079.758
1.940,1715869080.759,1715869082.700
1.457,1715869083.700,1715869085.157
1.457,1715869086.158,1715869087.615
2.276,1715869088.615,1715869090.891
2.073,1715869091.892,1715869093.965
1.660,1715869094.966,1715869096.627
1.453,1715869097.627,1715869099.081
1.664,1715869100.081,1715869101.745
1.668,1715869102.746,1715869104.414
1.451,1715869105.415,1715869106.866
1.456,1715869107.867,1715869109.323
1.646,1715869110.324,1715869111.970
1.677,1715869112.970,1715869114.648
1.455,1715869115.648,1715869117.103
1.871,1715869118.104,1715869119.974
1.867,1715869120.975,1715869122.842
1.455,1715869123.843,1715869125.299
1.457,1715869126.300,1715869127.757
1.457,1715869128.757,1715869130.214
1.866,1715869131.215,1715869133.082
1.660,1715869134.082,1715869135.743
1.458,1715869136.744,1715869138.202
1.663,1715869139.203,1715869140.865
1.660,1715869141.866,1715869143.526
1.459,1715869144.527,1715869145.986
1.454,1715869146.987,1715869148.440
1.869,1715869149.441,1715869151.310
1.455,1715869152.311,1715869153.765
1.458,1715869154.766,1715869156.225
1.661,1715869157.225,1715869158.886
1.866,1715869159.887,1715869161.753
1.457,1715869162.754,1715869164.212
1.456,1715869165.212,1715869166.668
1.664,1715869167.669,1715869169.333
1.454,1715869170.334,1715869171.788
1.664,1715869172.789,1715869174.453
1.457,1715869175.454,1715869176.911
1.866,1715869177.912,1715869179.777
1.457,1715869180.778,1715869182.236
1.455,1715869183.236,1715869184.691
1.664,1715869185.692,1715869187.357
1.454,1715869188.357,1715869189.812
1.662,1715869190.812,1715869192.475
1.457,1715869193.475,1715869194.933
1.867,1715869195.933,1715869197.801
1.387,1715869198.809,1715869200.196
1.619,1715869201.197,1715869202.816
1.558,1715869203.817,1715869205.375
2.049,1715869206.401,1715869208.450
1.658,1715869209.450,1715869211.109
1.457,1715869212.110,1715869213.567
1.666,1715869214.567,1715869216.233
1.452,1715869217.234,1715869218.686
1.461,1715869219.687,1715869221.148
1.866,1715869222.148,1715869224.015
2.074,1715869225.016,1715869227.090
1.451,1715869228.090,1715869229.541
1.461,1715869230.542,1715869232.003
1.457,1715869233.004,1715869234.461
1.865,1715869235.462,1715869237.328
1.455,1715869238.328,1715869239.784
1.666,1715869240.785,1715869242.450
1.865,1715869243.451,1715869245.316
1.455,1715869246.317,1715869247.771
1.459,1715869248.772,1715869250.231
1.457,1715869251.232,1715869252.688
1.868,1715869253.689,1715869255.557
1.456,1715869256.558,1715869258.014
1.454,1715869259.015,1715869260.470
1.458,1715869261.470,1715869262.928
1.866,1715869263.929,1715869265.795
1.457,1715869266.796,1715869268.253
1.458,1715869269.254,1715869270.711
1.669,1715869271.712,1715869273.381
1.449,1715869274.382,1715869275.830
1.458,1715869276.831,1715869278.289
1.455,1715869279.290,1715869280.745
1.868,1715869281.746,1715869283.613
1.457,1715869284.614,1715869286.071
1.458,1715869287.072,1715869288.530
1.662,1715869289.530,1715869291.192
1.457,1715869292.193,1715869293.649
1.456,1715869294.650,1715869296.106
1.662,1715869297.106,1715869298.768
1.865,1715869299.769,1715869301.634
1.459,1715869302.635,1715869304.094
