delay,send_time,receive_time,data_length
-0.071,1716457172.104,1716457172.033,1000
-0.069,1716457173.108,1716457173.039,1000
-0.069,1716457174.112,1716457174.043,1000
-0.072,1716457175.115,1716457175.043,1000
-0.073,1716457176.119,1716457176.046,1000
-0.075,1716457177.123,1716457177.048,1000
-0.074,1716457178.126,1716457178.052,1000
-0.068,1716457179.130,1716457179.062,1000
-0.072,1716457180.134,1716457180.062,1000
-0.077,1716457181.138,1716457181.061,1000
-0.071,1716457182.141,1716457182.070,1000
-0.073,1716457183.145,1716457183.072,1000
-0.073,1716457184.149,1716457184.076,1000
-0.067,1716457185.152,1716457185.085,1000
-0.071,1716457186.156,1716457186.085,1000
-0.077,1716457187.160,1716457187.083,1000
-0.077,1716457188.163,1716457188.086,1000
-0.077,1716457189.167,1716457189.090,1000
-0.073,1716457190.171,1716457190.098,1000
-0.074,1716457191.175,1716457191.101,1000
-0.075,1716457192.179,1716457192.104,1000
-0.079,1716457193.182,1716457193.103,1000
-0.076,1716457194.186,1716457194.110,1000
-0.080,1716457195.190,1716457195.110,1000
-0.074,1716457196.193,1716457196.119,1000
-0.075,1716457197.197,1716457197.122,1000
-0.075,1716457198.201,1716457198.126,1000
-0.078,1716457199.204,1716457199.126,1000
-0.081,1716457200.208,1716457200.127,1000
-0.082,1716457201.212,1716457201.130,1000
-0.080,1716457202.215,1716457202.135,1000
-0.077,1716457203.219,1716457203.142,1000
-0.078,1716457204.223,1716457204.145,1000
-0.081,1716457205.226,1716457205.145,1000
-0.081,1716457206.230,1716457206.149,1000
-0.084,1716457207.234,1716457207.150,1000
-0.081,1716457208.238,1716457208.157,1000
-0.073,1716457209.241,1716457209.168,1000
-0.079,1716457210.245,1716457210.166,1000
-0.075,1716457211.249,1716457211.174,1000
-0.084,1716457212.252,1716457212.168,1000
-0.085,1716457213.256,1716457213.171,1000
-0.084,1716457214.260,1716457214.176,1000
-0.079,1716457215.263,1716457215.184,1000
-0.077,1716457216.267,1716457216.190,1000
-0.084,1716457217.271,1716457217.187,1000
-0.087,1716457218.275,1716457218.188,1000
-0.081,1716457219.278,1716457219.197,1000
-0.081,1716457220.282,1716457220.201,1000
-0.075,1716457221.286,1716457221.211,1000
-0.082,1716457222.289,1716457222.207,1000
-0.083,1716457223.293,1716457223.210,1000
-0.082,1716457224.297,1716457224.215,1000
-0.088,1716457225.300,1716457225.212,1000
-0.083,1716457226.304,1716457226.221,1000
-0.082,1716457227.308,1716457227.226,1000
-0.085,1716457228.312,1716457228.227,1000
-0.085,1716457229.315,1716457229.230,1000
-0.089,1716457230.319,1716457230.230,1000
-0.081,1716457231.323,1716457231.242,1000
-0.084,1716457232.326,1716457232.242,1000
-0.083,1716457233.330,1716457233.247,1000
-0.086,1716457234.334,1716457234.248,1000
-0.087,1716457235.338,1716457235.251,1000
-0.082,1716457236.341,1716457236.259,1000
-0.091,1716457237.345,1716457237.254,1000
-0.085,1716457238.349,1716457238.264,1000
-0.087,1716457239.352,1716457239.265,1000
-0.092,1716457240.356,1716457240.264,1000
-0.093,1716457241.360,1716457241.267,1000
-0.091,1716457242.364,1716457242.273,1000
-0.088,1716457243.367,1716457243.279,1000
-0.089,1716457244.371,1716457244.282,1000
-0.090,1716457245.375,1716457245.285,1000
