"No.","Time","Source","Destination","Protocol","Length","Info"
"22329","1361.032078411","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27437 Ack=32861 Win=32128 Len=0 TSval=63271117 TSecr=3424933323"
"22330","1361.086989055","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1358) [res]"
"22331","1361.088261664","192.168.105.117","192.168.105.71","MQTT","70","Publish Received (id=1358)"
"22332","1361.088804531","192.168.105.117","192.168.105.183","MQTT","81","Publish Message [res]"
"22333","1361.101844429","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27454 Ack=32865 Win=32128 Len=0 TSval=63271179 TSecr=3424933387"
"22334","1361.105252933","192.168.105.71","192.168.105.117","MQTT","70","Publish Release (id=1358)"
"22335","1361.105987363","192.168.105.117","192.168.105.71","MQTT","70","Publish Complete (id=1358)"
"22336","1361.145673361","192.168.105.183","192.168.105.117","TCP","66","[TCP Previous segment not captured] 50791  >  1883 [ACK] Seq=30170 Ack=30151 Win=32128 Len=0 TSval=2894198399 TSecr=858883784"
"22337","1361.258105493","192.168.105.183","192.168.105.117","TCP","70","[TCP Retransmission] 50791  >  1883 [PSH, ACK] Seq=30166 Ack=30151 Win=32128 Len=4 TSval=2894198507 TSecr=858883784"
"22338","1361.329702925","192.168.105.117","192.168.105.71","TCP","70","[TCP Retransmission] 1883  >  38737 [PSH, ACK] Seq=32865 Ack=27458 Win=31872 Len=4 TSval=3424933629 TSecr=63271190"
"22339","1361.473742479","192.168.105.183","192.168.105.117","TCP","70","[TCP Retransmission] 50791  >  1883 [PSH, ACK] Seq=30166 Ack=30151 Win=32128 Len=4 TSval=2894198727 TSecr=858883784"
"22340","1361.473981230","192.168.105.117","192.168.105.183","TCP","78","[TCP Previous segment not captured] 1883  >  50791 [ACK] Seq=30155 Ack=30170 Win=31872 Len=0 TSval=858884169 TSecr=2894198727 SLE=30166 SRE=30170"
"22341","1361.553780571","192.168.105.117","192.168.105.71","TCP","70","[TCP Retransmission] 1883  >  38737 [PSH, ACK] Seq=32865 Ack=27458 Win=31872 Len=4 TSval=3424933853 TSecr=63271190"
"22342","1361.568852195","192.168.105.71","192.168.105.117","TCP","78","38737  >  1883 [ACK] Seq=27458 Ack=32869 Win=32128 Len=0 TSval=63271652 TSecr=3424933853 SLE=32865 SRE=32869"
"22343","1361.729712080","192.168.105.117","192.168.105.183","TCP","70","[TCP Retransmission] 1883  >  50791 [PSH, ACK] Seq=30151 Ack=30170 Win=31872 Len=4 TSval=858884425 TSecr=2894198727"
"22344","1361.741679265","192.168.105.183","192.168.105.117","TCP","66","50791  >  1883 [ACK] Seq=30170 Ack=30155 Win=32128 Len=0 TSval=2894199000 TSecr=858884425"
"22345","1361.921845323","192.168.105.174","224.0.0.251","MDNS","82","Standard query 0x01fd PTR _quickshare._tcp.local, ""QM"" question"
"22346","1362.130832854","fe80::a081:24ff:fe63:2646","ff02::fb","MDNS","102","Standard query 0x01fd PTR _quickshare._tcp.local, ""QM"" question"
"22347","1362.238514341","192.168.105.183","192.168.105.117","MQTT","85","Publish Message (id=1359) [topic]"
"22348","1362.238804707","192.168.105.117","192.168.105.183","TCP","66","1883  >  50791 [ACK] Seq=30155 Ack=30189 Win=31872 Len=0 TSval=858884934 TSecr=2894199491"
"22349","1362.240078306","192.168.105.117","192.168.105.71","MQTT","83","Publish Message [topic]"
"22350","1362.256878792","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27458 Ack=32886 Win=32128 Len=0 TSval=63272342 TSecr=3424934539"
"22351","1362.313263296","192.168.105.71","192.168.105.117","MQTT","83","Publish Message (id=1359) [res]"
"22352","1362.314356894","192.168.105.117","192.168.105.71","MQTT","70","Publish Received (id=1359)"
"22353","1362.314833042","192.168.105.117","192.168.105.183","MQTT","81","[TCP Previous segment not captured] , Publish Message [res]"
"22354","1362.321618018","192.168.105.71","192.168.105.117","TCP","66","38737  >  1883 [ACK] Seq=27475 Ack=32890 Win=32128 Len=0 TSval=63272407 TSecr=3424934613"
"22355","1362.325495273","192.168.105.183","192.168.105.117","TCP","78","[TCP Dup ACK 22344#1] 50791  >  1883 [ACK] Seq=30189 Ack=30155 Win=32128 Len=0 TSval=2894199585 TSecr=858884934 SLE=30159 SRE=30174"
"22356","1362.325701785","192.168.105.117","192.168.105.183","TCP","70","[TCP Retransmission] 1883  >  50791 [PSH, ACK] Seq=30155 Ack=30189 Win=31872 Len=4 TSval=858885021 TSecr=2894199585"
