delay,send_time,receive_time,data_length
0.451,1715857635.258,1715857635.709,1000
0.019,1715857636.261,1715857636.280,1000
0.016,1715857637.265,1715857637.281,1000
0.020,1715857638.269,1715857638.289,1000
0.032,1715857639.272,1715857639.304,1000
0.018,1715857640.276,1715857640.294,1000
0.021,1715857641.280,1715857641.301,1000
0.016,1715857642.283,1715857642.299,1000
0.017,1715857643.287,1715857643.304,1000
0.016,1715857644.291,1715857644.307,1000
0.019,1715857645.294,1715857645.313,1000
0.019,1715857646.298,1715857646.317,1000
0.020,1715857647.301,1715857647.321,1000
0.017,1715857648.305,1715857648.322,1000
0.235,1715857649.309,1715857649.544,1000
0.015,1715857650.312,1715857650.327,1000
0.236,1715857651.316,1715857651.552,1000
0.240,1715857652.320,1715857652.560,1000
0.017,1715857653.323,1715857653.340,1000
0.020,1715857654.327,1715857654.347,1000
0.238,1715857655.331,1715857655.569,1000
0.015,1715857656.334,1715857656.349,1000
0.016,1715857657.338,1715857657.354,1000
0.016,1715857658.342,1715857658.358,1000
0.018,1715857659.345,1715857659.363,1000
0.237,1715857660.349,1715857660.586,1000
0.017,1715857661.353,1715857661.370,1000
0.240,1715857662.357,1715857662.597,1000
6.319,1715857663.360,1715857669.679,1000
5.337,1715857664.364,1715857669.701,1000
4.355,1715857665.367,1715857669.722,1000
3.373,1715857666.371,1715857669.744,1000
2.391,1715857667.374,1715857669.765,1000
1.414,1715857668.378,1715857669.792,1000
0.437,1715857669.382,1715857669.819,1000
0.025,1715857670.385,1715857670.410,1000
0.019,1715857671.389,1715857671.408,1000
0.016,1715857672.393,1715857672.409,1000
0.248,1715857673.396,1715857673.644,1000
0.019,1715857674.400,1715857674.419,1000
0.017,1715857675.404,1715857675.421,1000
0.018,1715857676.407,1715857676.425,1000
0.017,1715857677.411,1715857677.428,1000
0.239,1715857678.415,1715857678.654,1000
0.025,1715857679.418,1715857679.443,1000
0.022,1715857680.422,1715857680.444,1000
0.017,1715857681.426,1715857681.443,1000
0.019,1715857682.429,1715857682.448,1000
0.019,1715857683.433,1715857683.452,1000
0.021,1715857684.437,1715857684.458,1000
0.242,1715857685.440,1715857685.682,1000
0.016,1715857686.444,1715857686.460,1000
0.016,1715857687.448,1715857687.464,1000
0.016,1715857688.451,1715857688.467,1000
0.305,1715857689.455,1715857689.760,1000
0.304,1715857690.458,1715857690.762,1000
0.384,1715857691.462,1715857691.846,1000
0.444,1715857692.466,1715857692.910,1000
0.101,1715857693.469,1715857693.570,1000
0.323,1715857694.473,1715857694.796,1000
0.026,1715857695.477,1715857695.503,1000
0.099,1715857696.480,1715857696.579,1000
0.136,1715857697.484,1715857697.620,1000
0.028,1715857698.488,1715857698.516,1000
0.075,1715857699.491,1715857699.566,1000
0.027,1715857700.495,1715857700.522,1000
0.015,1715857701.499,1715857701.514,1000
0.092,1715857702.502,1715857702.594,1000
0.049,1715857703.506,1715857703.555,1000
0.019,1715857704.510,1715857704.529,1000
0.028,1715857705.513,1715857705.541,1000
0.019,1715857706.517,1715857706.536,1000
0.038,1715857707.520,1715857707.558,1000
0.014,1715857708.524,1715857708.538,1000
0.528,1715857709.528,1715857710.056,1000
0.043,1715857710.532,1715857710.575,1000
0.017,1715857711.535,1715857711.552,1000
0.016,1715857712.539,1715857712.555,1000
0.037,1715857713.543,1715857713.580,1000
0.083,1715857714.546,1715857714.629,1000
0.321,1715857715.550,1715857715.871,1000
0.385,1715857716.554,1715857716.939,1000
0.020,1715857717.557,1715857717.577,1000
0.018,1715857718.561,1715857718.579,1000
0.037,1715857719.565,1715857719.602,1000
0.038,1715857720.568,1715857720.606,1000
0.021,1715857721.572,1715857721.593,1000
0.188,1715857722.576,1715857722.764,1000
0.091,1715857723.580,1715857723.671,1000
0.581,1715857724.583,1715857725.164,1000
0.022,1715857725.587,1715857725.609,1000
0.113,1715857726.591,1715857726.704,1000
0.174,1715857727.594,1715857727.768,1000
0.021,1715857728.598,1715857728.619,1000
0.362,1715857729.602,1715857729.964,1000
0.033,1715857730.605,1715857730.638,1000
0.339,1715857731.609,1715857731.948,1000
0.019,1715857732.613,1715857732.632,1000
0.076,1715857733.616,1715857733.692,1000
0.076,1715857734.620,1715857734.696,1000
0.018,1715857735.624,1715857735.642,1000
0.022,1715857736.627,1715857736.649,1000
0.142,1715857737.631,1715857737.773,1000
0.018,1715857738.635,1715857738.653,1000
0.018,1715857739.638,1715857739.656,1000
0.324,1715857740.642,1715857740.966,1000
0.026,1715857741.646,1715857741.672,1000
0.038,1715857742.649,1715857742.687,1000
0.019,1715857743.653,1715857743.672,1000
0.016,1715857744.657,1715857744.673,1000
0.280,1715857745.661,1715857745.941,1000
0.368,1715857746.664,1715857747.032,1000
0.076,1715857747.668,1715857747.744,1000
0.014,1715857748.672,1715857748.686,1000
0.054,1715857749.675,1715857749.729,1000
0.142,1715857750.679,1715857750.821,1000
0.335,1715857751.683,1715857752.018,1000
0.395,1715857752.686,1715857753.081,1000
0.020,1715857753.690,1715857753.710,1000
0.151,1715857754.694,1715857754.845,1000
0.510,1715857755.697,1715857756.207,1000
0.023,1715857756.701,1715857756.724,1000
0.021,1715857757.705,1715857757.726,1000
0.630,1715857758.708,1715857759.338,1000
0.284,1715857759.712,1715857759.996,1000
0.194,1715857760.715,1715857760.909,1000
0.462,1715857761.719,1715857762.181,1000
0.025,1715857762.723,1715857762.748,1000
0.016,1715857763.726,1715857763.742,1000
0.174,1715857764.730,1715857764.904,1000
0.028,1715857765.734,1715857765.762,1000
0.446,1715857766.737,1715857767.183,1000
0.090,1715857767.741,1715857767.831,1000
0.019,1715857768.745,1715857768.764,1000
0.016,1715857769.749,1715857769.765,1000
0.020,1715857770.752,1715857770.772,1000
0.021,1715857771.756,1715857771.777,1000
0.017,1715857772.760,1715857772.777,1000
